YEAR,LAT,LON,Month,Temperature,Date
2001,6.5,38.125,1,22.49,2001-01-01
2001,6.5,38.75,1,15.92,2001-01-01
2001,6.5,39.375,1,17.97,2001-01-01
2001,6.5,40.0,1,21.3,2001-01-01
2001,6.5,40.625,1,23.59,2001-01-01
2001,6.5,41.25,1,24.46,2001-01-01
2001,6.5,41.875,1,25.39,2001-01-01
2001,6.5,42.5,1,26.52,2001-01-01
2001,7.0,33.125,1,29.89,2001-01-01
2001,7.0,33.75,1,29.82,2001-01-01
2001,7.0,34.375,1,29.38,2001-01-01
2001,7.0,35.0,1,25.54,2001-01-01
2001,7.0,35.625,1,19.38,2001-01-01
2001,7.0,36.25,1,20.11,2001-01-01
2001,7.0,36.875,1,21.33,2001-01-01
2001,7.0,37.5,1,21.31,2001-01-01
2001,7.0,38.125,1,21.19,2001-01-01
2001,7.0,38.75,1,16.51,2001-01-01
2001,7.0,39.375,1,13.2,2001-01-01
2001,7.0,40.0,1,12.27,2001-01-01
2001,7.0,40.625,1,20.1,2001-01-01
2001,7.0,41.25,1,23.84,2001-01-01
2001,7.0,41.875,1,25.87,2001-01-01
2001,7.0,42.5,1,25.47,2001-01-01
2001,7.5,33.125,1,29.69,2001-01-01
2001,7.5,33.75,1,29.66,2001-01-01
2001,7.5,34.375,1,29.16,2001-01-01
2001,7.5,35.0,1,24.21,2001-01-01
2001,7.5,35.625,1,17.32,2001-01-01
2001,7.5,36.25,1,17.14,2001-01-01
2001,7.5,36.875,1,17.53,2001-01-01
2001,7.5,37.5,1,18.37,2001-01-01
2001,7.5,38.125,1,19.31,2001-01-01
2001,7.5,38.75,1,19.15,2001-01-01
2001,7.5,39.375,1,15.01,2001-01-01
2001,7.5,40.0,1,18.42,2001-01-01
2001,7.5,40.625,1,20.74,2001-01-01
2001,7.5,41.25,1,23.62,2001-01-01
2001,7.5,41.875,1,25.33,2001-01-01
2001,7.5,42.5,1,25.17,2001-01-01
2001,8.0,33.125,1,29.43,2001-01-01
2001,8.0,33.75,1,29.73,2001-01-01
2001,8.0,34.375,1,29.6,2001-01-01
2001,8.0,35.0,1,22.66,2001-01-01
2001,8.0,35.625,1,17.57,2001-01-01
2001,8.0,36.25,1,16.18,2001-01-01
2001,8.0,36.875,1,18.62,2001-01-01
2001,8.0,37.5,1,18.04,2001-01-01
2001,8.0,38.125,1,14.38,2001-01-01
2001,8.0,38.75,1,19.71,2001-01-01
2001,8.0,39.375,1,15.8,2001-01-01
2001,8.0,40.0,1,17.5,2001-01-01
2001,8.0,40.625,1,22.63,2001-01-01
2001,8.0,41.25,1,23.18,2001-01-01
2001,8.0,41.875,1,24.44,2001-01-01
2001,8.0,42.5,1,24.49,2001-01-01
2001,8.5,33.125,1,29.11,2001-01-01
2001,8.5,33.75,1,29.87,2001-01-01
2001,8.5,34.375,1,28.16,2001-01-01
2001,8.5,35.0,1,21.25,2001-01-01
2001,8.5,35.625,1,19.42,2001-01-01
2001,8.5,36.25,1,17.79,2001-01-01
2001,8.5,36.875,1,20.11,2001-01-01
2001,8.5,37.5,1,18.73,2001-01-01
2001,8.5,38.125,1,16.58,2001-01-01
2001,8.5,38.75,1,16.62,2001-01-01
2001,8.5,39.375,1,19.01,2001-01-01
2001,8.5,40.0,1,18.7,2001-01-01
2001,8.5,40.625,1,20.76,2001-01-01
2001,8.5,41.25,1,22.79,2001-01-01
2001,8.5,41.875,1,23.28,2001-01-01
2001,8.5,42.5,1,22.78,2001-01-01
2001,9.0,33.125,1,28.76,2001-01-01
2001,9.0,33.75,1,29.56,2001-01-01
