Year,Crop,Yield,NDVI,SolarRadiation,Temperature,Precipitation
2023,"Peas, green",6063.0,0.3377687776668285,20.889453703703705,23.89610471491228,3.697521929824561
2007,Pineapples,5160.9,0.4227144484991257,21.02109259259259,23.810452302631575,2.5430509868421054
2008,Pineapples,4293.4,0.3946315227729722,21.04637962962963,23.909931469298243,2.233177083333333
2009,Pineapples,3509.2,0.3922208193226534,21.16241666666667,24.535254934210528,2.0412911184210527
2010,Pineapples,2945.4,0.409681764639884,20.25435185185185,24.03391721491228,2.6240734649122808
2011,Pineapples,2356.1,0.4036922310212352,20.994675925925925,24.257423245614035,1.8131222587719296
2012,Pineapples,1864.7,0.4002515753260196,21.254175925925924,23.94925438596491,2.3384237938596493
2013,Pineapples,1541.0,0.4125061194601273,20.725925925925925,23.693497807017547,2.848703399122807
2014,Pineapples,1245.2,0.4145052372500049,20.847925925925924,23.76984923245614,2.861170504385965
2015,Pineapples,1345.0,0.4073719097704716,21.474435185185182,24.19051260964912,2.55202850877193
2016,Pineapples,1931.0,0.4017307415655542,21.02808333333333,24.006293859649123,2.909969846491228
2017,Pineapples,2254.1,0.4042081481832799,21.146944444444443,24.01842653508772,2.8037719298245616
2018,Pineapples,2147.0,0.4222797822941539,20.66687037037037,23.772184758771928,2.576825657894737
2019,Pineapples,2417.0,0.4323547434514863,20.86773148148148,24.261724232456142,2.983086622807017
2020,Pineapples,2825.9,0.4496177103483849,20.498231481481483,23.548656798245617,3.7571628289473686
2021,Pineapples,1478.1,0.4171582996912342,20.920962962962964,23.701219846491227,3.3318146929824564
2022,Pineapples,2240.3,0.3997945404576315,20.619796296296297,23.84128289473684,2.697001096491228
2023,Pineapples,2372.2,0.3377687776668285,20.889453703703705,23.89610471491228,3.697521929824561
2000,Potatoes,7700.0,0.4000366126062417,21.225879629629627,24.21979440789473,1.6405756578947368
2001,Potatoes,9222.2,0.4013978629736657,20.336212962962964,24.2402576754386,1.7678015350877192
2002,Potatoes,10487.2,0.4005337405195422,20.73205555555556,24.66956962719298,1.6742379385964912
2003,Potatoes,9334.9,0.4059611017604926,21.020925925925926,24.66050986842105,1.6336622807017545
2004,Potatoes,9859.5,0.4054728818795264,21.042416666666664,24.621598135964916,1.579300986842105
2005,Potatoes,7280.1,0.4074661173024027,21.24136111111111,24.504284539473684,1.7632264254385963
2006,Potatoes,7280.1,0.4192054550436593,20.707398148148147,23.94276864035088,2.8751672149122807
2007,Potatoes,7191.4,0.4227144484991257,21.02109259259259,23.810452302631575,2.5430509868421054
2008,Potatoes,7972.3,0.3946315227729722,21.04637962962963,23.909931469298243,2.233177083333333
2009,Potatoes,8201.5,0.3922208193226534,21.16241666666667,24.535254934210528,2.0412911184210527
2010,Potatoes,8282.9,0.409681764639884,20.25435185185185,24.03391721491228,2.6240734649122808
2011,Potatoes,7989.4,0.4036922310212352,20.994675925925925,24.257423245614035,1.8131222587719296
2012,Potatoes,11521.3,0.4002515753260196,21.254175925925924,23.94925438596491,2.3384237938596493
2013,Potatoes,11761.1,0.4125061194601273,20.725925925925925,23.693497807017547,2.848703399122807
2014,Potatoes,13684.7,0.4145052372500049,20.847925925925924,23.76984923245614,2.861170504385965
2015,Potatoes,14825.6,0.4073719097704716,21.474435185185182,24.19051260964912,2.55202850877193
2016,Potatoes,13768.1,0.4017307415655542,21.02808333333333,24.006293859649123,2.909969846491228
2017,Potatoes,13919.8,0.4042081481832799,21.146944444444443,24.01842653508772,2.8037719298245616
2018,Potatoes,14003.3,0.4222797822941539,20.66687037037037,23.772184758771928,2.576825657894737
2019,Potatoes,13139.6,0.4323547434514863,20.86773148148148,24.261724232456142,2.983086622807017
2020,Potatoes,13279.4,0.4496177103483849,20.498231481481483,23.548656798245617,3.7571628289473686
2021,Potatoes,16687.3,0.4171582996912342,20.920962962962964,23.701219846491227,3.3318146929824564
2022,Potatoes,17265.8,0.3997945404576315,20.619796296296297,23.84128289473684,2.697001096491228
2023,Potatoes,15919.4,0.3377687776668285,20.889453703703705,23.89610471491228,3.697521929824561
2000,Rice,1829.3,0.4000366126062417,21.225879629629627,24.21979440789473,1.6405756578947368
2001,Rice,1842.7,0.4013978629736657,20.336212962962964,24.2402576754386,1.7678015350877192
2002,Rice,2001.6,0.4005337405195422,20.73205555555556,24.66956962719298,1.6742379385964912
2003,Rice,1805.6,0.4059611017604926,21.020925925925926,24.66050986842105,1.6336622807017545
2004,Rice,1846.2,0.4054728818795264,21.042416666666664,24.621598135964916,1.579300986842105
2005,Rice,1801.6,0.4074661173024027,21.24136111111111,24.504284539473684,1.7632264254385963
2006,Rice,1751.1,0.4192054550436593,20.707398148148147,23.94276864035088,2.8751672149122807
2007,Rice,1616.2,0.4227144484991257,21.02109259259259,23.810452302631575,2.5430509868421054
2008,Rice,1233.0,0.3946315227729722,21.04637962962963,23.909931469298243,2.233177083333333
2009,Rice,2160.2,0.3922208193226534,21.16241666666667,24.535254934210528,2.0412911184210527
2010,Rice,3027.3,0.409681764639884,20.25435185185185,24.03391721491228,2.6240734649122808
2011,Rice,2891.4,0.4036922310212352,20.994675925925925,24.257423245614035,1.8131222587719296
2012,Rice,2895.0,0.4002515753260196,21.254175925925924,23.94925438596491,2.3384237938596493
2013,Rice,2731.0,0.4125061194601273,20.725925925925925,23.693497807017547,2.848703399122807
2014,Rice,2814.8,0.4145052372500049,20.847925925925924,23.76984923245614,2.861170504385965
2015,Rice,3075.2,0.4073719097704716,21.474435185185182,24.19051260964912,2.55202850877193
2016,Rice,2808.9,0.4017307415655542,21.02808333333333,24.006293859649123,2.909969846491228
2017,Rice,2843.7,0.4042081481832799,21.146944444444443,24.01842653508772,2.8037719298245616
2018,Rice,2712.3,0.4222797822941539,20.66687037037037,23.772184758771928,2.576825657894737
2019,Rice,2963.6,0.4323547434514863,20.86773148148148,24.261724232456142,2.983086622807017
2020,Rice,3144.9,0.4496177103483849,20.498231481481483,23.548656798245617,3.7571628289473686
2021,Rice,3079.8,0.4171582996912342,20.920962962962964,23.701219846491227,3.3318146929824564
2022,Rice,3466.7,0.3997945404576315,20.619796296296297,23.84128289473684,2.697001096491228
2023,Rice,3366.7,0.3377687776668285,20.889453703703705,23.89610471491228,3.697521929824561
2000,"Seed cotton, unginned",1058.1,0.4000366126062417,21.225879629629627,24.21979440789473,1.6405756578947368
2001,"Seed cotton, unginned",1034.1,0.4013978629736657,20.336212962962964,24.2402576754386,1.7678015350877192
2002,"Seed cotton, unginned",1363.6,0.4005337405195422,20.73205555555556,24.66956962719298,1.6742379385964912
2003,"Seed cotton, unginned",893.3,0.4059611017604926,21.020925925925926,24.66050986842105,1.6336622807017545
2004,"Seed cotton, unginned",893.3,0.4054728818795264,21.042416666666664,24.621598135964916,1.579300986842105
2005,"Seed cotton, unginned",764.7,0.4074661173024027,21.24136111111111,24.504284539473684,1.7632264254385963
2006,"Seed cotton, unginned",845.5,0.4192054550436593,20.707398148148147,23.94276864035088,2.8751672149122807
2007,"Seed cotton, unginned",884.3,0.4227144484991257,21.02109259259259,23.810452302631575,2.5430509868421054
2008,"Seed cotton, unginned",862.2,0.3946315227729722,21.04637962962963,23.909931469298243,2.233177083333333
2009,"Seed cotton, unginned",691.4,0.3922208193226534,21.16241666666667,24.535254934210528,2.0412911184210527
2010,"Seed cotton, unginned",773.3,0.409681764639884,20.25435185185185,24.03391721491228,2.6240734649122808
2011,"Seed cotton, unginned",729.4,0.4036922310212352,20.994675925925925,24.257423245614035,1.8131222587719296
2012,"Seed cotton, unginned",639.7,0.4002515753260196,21.254175925925924,23.94925438596491,2.3384237938596493
2013,"Seed cotton, unginned",860.5,0.4125061194601273,20.725925925925925,23.693497807017547,2.848703399122807
